id,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
48154.0,48154.0,219476,39.48375,-0.37502,4.0,1.0,2.0,2.0,83.0,3.0,25.0,3.0,6.0,10,25,3.8,19.5,21,39,56,146,23.3,27.0,3.0,1.05,4.61,4.67,4.63,4.85,4.8,4.51,4.51,4.0,4.0,0.0,0.0
137143.0,137143.0,670775,39.5,-0.31932,7.0,1.0,1.0,2.1,101.4,10.0,170.0,1.9,10.0,170,170,10.0,170.0,0,0,3,30,1.0,0.0,0.0,0.01,4.7,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0
149715.0,149715.0,5947,39.46746,-0.32813,3.3,1.0,1.4,2.1,101.4,2.0,90.0,2.0,3.0,1125,1125,2.1,1125.0,10,16,30,277,23.3,40.0,5.0,1.77,4.67,4.71,4.57,4.85,4.89,4.62,4.62,1.0,1.0,0.0,0.0
165971.0,165971.0,791187,39.4679,-0.38206,4.0,1.0,1.0,1.0,109.0,5.0,10.0,1.0,5.0,1125,1125,4.9,1125.0,7,12,25,29,23.3,44.0,2.0,3.32,4.87,4.91,4.88,4.89,4.88,4.84,4.85,7.0,7.0,0.0,0.0
182221.0,182221.0,1315567,39.46343,-0.34325,5.0,1.0,2.0,5.0,101.4,3.0,50.0,3.0,7.0,50,50,4.2,50.0,29,59,89,360,9.0,1.0,0.0,0.07,4.56,4.44,4.44,4.67,4.67,4.33,4.44,1.0,1.0,0.0,0.0
192674.0,192674.0,933504,39.48002,-0.38021,5.0,1.0,2.0,4.0,119.0,10.0,365.0,1.9,10.0,365,365,10.0,365.0,7,13,20,78,23.3,27.0,4.0,1.22,4.84,4.9,4.82,4.98,4.98,4.91,4.77,4.0,4.0,0.0,0.0
193326.0,193326.0,937597,39.473,-0.32897,2.0,1.0,1.0,2.0,51.0,11.0,330.0,1.0,11.0,330,330,10.1,330.0,22,49,79,227,23.3,10.1,3.0,2.24,4.88,4.9,4.92,4.9,4.95,4.78,4.79,3.0,1.0,2.0,0.0
225070.0,225070.0,937597,39.47152,-0.33123,1.0,1.0,1.0,3.0,50.0,11.0,330.0,2.0,11.0,330,330,10.4,330.0,25,43,56,208,23.3,40.0,2.0,1.6,4.85,4.87,4.93,4.9,4.95,4.77,4.8,3.0,1.0,2.0,0.0
253764.0,253764.0,1332880,39.466515,-0.325345,5.0,1.0,2.0,4.0,101.4,3.0,242.2,3.0,5.0,4,1125,3.5,827.0,7,16,22,28,69.0,11.0,0.0,0.43,4.49,4.5,4.46,4.76,4.79,4.79,4.35,2.0,2.0,0.0,0.0
260929.0,260929.0,140702,39.47507,-0.36296,2.0,1.0,1.0,1.0,51.0,2.0,60.0,2.0,2.0,60,60,2.0,60.0,7,19,44,44,23.3,27.0,0.0,1.06,4.73,4.83,4.62,4.87,4.87,4.85,4.68,3.0,0.0,0.3,0.0
260935.0,260935.0,140702,39.47505,-0.36282,2.0,1.0,1.0,1.0,41.0,2.0,60.0,2.0,2.0,60,60,2.0,60.0,9,30,60,60,23.3,12.0,0.0,3.0,4.7,4.78,4.64,4.86,4.85,4.87,4.68,3.0,0.0,0.3,0.0
273373.0,273373.0,1387923,39.48183,-0.32578,3.3,1.0,1.4,2.1,101.4,3.0,365.0,3.0,3.0,365,365,3.0,365.0,7,10,23,288,23.3,21.0,1.0,0.91,4.57,4.58,4.34,4.85,4.83,4.84,4.32,6.0,6.0,0.0,0.0
276455.0,276455.0,1444357,39.47317,-0.33932,1.0,1.0,1.0,1.0,38.0,2.0,14.0,2.0,2.0,14,14,2.0,14.0,0,18,48,323,0.0,0.0,0.0,0.0,4.7,4.8,4.7,4.8,4.8,4.7,4.6,1.0,0.0,1.0,0.0
288057.0,288057.0,1497590,39.48367,-0.37377,3.0,1.0,1.0,2.0,106.0,4.0,242.2,3.0,6.0,487,487,4.5,487.0,3,6,15,84,23.3,23.0,2.0,1.15,4.69,4.81,4.58,4.86,4.85,4.76,4.63,3.0,3.0,0.0,0.0
308525.0,308525.0,1504505,39.47328,-0.38588,3.0,1.0,1.0,2.0,80.0,3.2,242.2,3.0,14.0,1125,1125,13.6,1125.0,2,6,25,173,23.3,9.0,0.0,1.36,4.81,4.85,4.83,4.92,4.95,4.82,4.82,1.0,1.0,0.0,0.0
313137.0,313137.0,1610077,39.46359,-0.37359,3.0,1.0,2.0,2.0,75.0,3.2,242.2,1.9,4.7,1125,1125,4.0,1125.0,2,3,16,180,78.0,6.0,0.0,0.55,4.73,4.82,4.77,4.86,4.88,4.93,4.75,1.0,1.0,0.0,0.0
323609.0,323609.0,1332880,39.466515,-0.325345,5.0,1.0,2.0,3.0,101.4,2.0,242.2,2.0,5.0,5,1125,2.8,832.1,9,14,36,43,45.0,14.0,2.0,0.29,4.41,4.44,4.36,4.73,4.6,4.71,4.23,2.0,2.0,0.0,0.0
346695.0,346695.0,1757298,39.47917,-0.377,4.0,1.0,2.0,2.0,95.0,2.0,242.2,1.0,2.0,1125,1125,2.0,1125.0,6,13,23,231,23.3,10.1,5.0,4.19,4.85,4.87,4.87,4.93,4.95,4.9,4.86,1.0,1.0,0.0,0.0
361016.0,361016.0,1145189,39.46051,-0.38512,4.0,1.0,3.0,5.0,134.0,2.0,90.0,2.0,4.7,120,120,7.1,120.0,7,11,18,92,23.3,15.0,1.0,1.63,4.7,4.77,4.74,4.54,4.52,4.59,4.64,3.0,3.0,0.0,0.0
